"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8841","addingItemToCardWhenQuentityZero","Default Suite","Sat Jun 21 02:49:19 EEST 2025","passed","Sat Jun 21 02:49:28 EEST 2025","Testing.NegativeTestCase.failedAddingToCard","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.failedAddingToCard","addingItemToCardWhenQuentityZero"
"","6421","searchForItem","Running all test cases","Sat Jun 21 02:53:51 EEST 2025","passed","Sat Jun 21 02:53:57 EEST 2025","Testing.PositiveTestCases.purchaseItemTC","Running all positive test cases","Testing.PositiveTestCases.purchaseItemTC","searchForItem"
"","8488","addingItemToCardWithoutSelectSize","Default Suite","Sat Jun 21 02:48:51 EEST 2025","passed","Sat Jun 21 02:48:59 EEST 2025","Testing.NegativeTestCase.failedAddingToCard","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.failedAddingToCard","addingItemToCardWithoutSelectSize"
"","11177","clickSearchedItem","Running all test cases","Sat Jun 21 02:53:57 EEST 2025","passed","Sat Jun 21 02:54:09 EEST 2025","Testing.PositiveTestCases.purchaseItemTC","Running all positive test cases","Testing.PositiveTestCases.purchaseItemTC","clickSearchedItem"
"","4983","searchItem","Running all test cases","Sat Jun 21 02:53:03 EEST 2025","passed","Sat Jun 21 02:53:08 EEST 2025","Testing.PositiveTestCases.itemSearchTC","Running all positive test cases","Testing.PositiveTestCases.itemSearchTC","searchItem"
"","3599","searchInvalidProduct","Default Suite","Sat Jun 21 01:57:34 EEST 2025","passed","Sat Jun 21 01:57:37 EEST 2025","Testing.NegativeTestCase.invalidProductSearch","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.invalidProductSearch","searchInvalidProduct"
"","11022","addingItemToCardDiffAssertion","Running all test cases","Sat Jun 21 02:53:35 EEST 2025","passed","Sat Jun 21 02:53:46 EEST 2025","Testing.PositiveTestCases.AddingItemToCard","Running all positive test cases","Testing.PositiveTestCases.AddingItemToCard","addingItemToCardDiffAssertion"
"","6271","searchForItem","Default Suite","Sat Jun 21 02:19:26 EEST 2025","passed","Sat Jun 21 02:19:32 EEST 2025","Testing.NegativeTestCase.failedAddingToCard","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.failedAddingToCard","searchForItem"
"","6703","searchItem","Default Suite","Sat Jun 21 02:45:49 EEST 2025","passed","Sat Jun 21 02:45:56 EEST 2025","Testing.NegativeTestCase.failedAddingToCard","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.failedAddingToCard","searchItem"
"","15537","addingItemToCard","Running all test cases","Sat Jun 21 02:53:13 EEST 2025","passed","Sat Jun 21 02:53:29 EEST 2025","Testing.PositiveTestCases.AddingItemToCard","Running all positive test cases","Testing.PositiveTestCases.AddingItemToCard","addingItemToCard"
"","18458","proceedItem","Running all test cases","Sat Jun 21 02:54:09 EEST 2025","passed","Sat Jun 21 02:54:27 EEST 2025","Testing.PositiveTestCases.purchaseItemTC","Running all positive test cases","Testing.PositiveTestCases.purchaseItemTC","proceedItem"
"","8611","addingItemToCardWhenQuentityNon","Default Suite","Sat Jun 21 02:49:33 EEST 2025","passed","Sat Jun 21 02:49:42 EEST 2025","Testing.NegativeTestCase.failedAddingToCard","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.failedAddingToCard","addingItemToCardWhenQuentityNon"
"","8529","addingItemToCardWithoutColor","Default Suite","Sat Jun 21 02:49:05 EEST 2025","passed","Sat Jun 21 02:49:14 EEST 2025","Testing.NegativeTestCase.failedAddingToCard","Task Ecommerce Website Testing with Selenium Automation","Testing.NegativeTestCase.failedAddingToCard","addingItemToCardWithoutColor"
